review,sentiment
游戏是好游戏，满满的回忆，相信很多人是以前玩过猴子也疯狂而来的吧，我就是呢。游戏虽好，但是策划和运营团队就很不行了，怎么个不行？下面给大家扒一扒他们的关荣事迹。首先说一下我玩这个游戏的资历，虽比不上很多前辈，但是我觉得还是能小声哔哔几句，本人于17年9月份左右开始入坑猴子很忙1代，赛季最好成绩全服前五，成就差不多是做完的，游戏时长不用说了吧。2019今年四月份弃坑如今的二代，此前，我的账号曾被回档，被黑客入侵影响排位段位，降低到最低，和降低2个大段都有，两三次，我却依然在坚持！实在受不了渠道服更新几个月，官服还没动静，一副被废弃状态的才退坑的，这是对我们官服玩家的侮辱！退坑后，一直也有关注更新官服情况，但是很失望。一代不知道现在关服没有，关和不关无所谓了，反正我弃坑1代那会它都是半死不活，一大堆bug不修复。出2代(也就是如今的版本)时曾承诺1代也会不停更，不断地优化，结果当然是没结果啦，对于这种贪新忘旧的白眼狼开发团队来说这很正常。出2代的测试前期，1代的很多大佬们都有帮忙测试，反馈bug，大概两个月测试，多少1代玩家的心血才帮你们完善这个满天bug的游戏？全模式皆睡眠模式，玩家攻击对手身体穿透而过攻击失效，开场敌我都隐身，开场敌我都尬舞等等这些bug我们都经历过。我本人在测试初期一个礼拜每天熬夜测，一有空就测，就到好的点子建议就给海洋开发说，反馈了不下20个bug，建议和描述情况字数怕是有个上万字了吧，还有很多很努力帮忙测试的朋友，我们的付出的所有，结果得到了什么样的回报？你们，把我们付出了无数心血和期望的曾经官服遗弃了？你们现在整出来的咖啡牛服算是取代最初的官方服？厉害啊，流弊啊，利用完就彻底遗弃了我们这个曾经为这个游戏测试改进，而付出无数心血心机和时间的服务器玩家了？你们可以不承认这是官服，说它是测试服，(是不是这句话给你们知道很好的甩锅借口了？)但是我只认这个是官服，你们和我们心里都***心里有数！咱官服玩家，你们最初的铁血忠实支持者，咱官服玩家爸爸们是没给你们充钱买脑残片还是怎么的？自从搞了几个渠道服(并没有针对渠道服玩家的意思，请勿对号入座)，官服和渠道服开始的几次更新还每边一次优先更新，这个理解到你们也要恰饭，也没话可说，确实官服人气人流量不行，没给你们带来什么可观收入，但是这个是你们自己的运营问题，关我们官服玩家diao事？说回更新，后来的所有更新，你们更新只更渠道服！官服，半年停更都有了，彻底的不闻不问，以前官服玩家的话你们还很认真的回，现在直接晾起来，问你们官服什么时候也更新一下啊，后更无所谓的，更就好了。结果呢？你们开始无视我们官服玩家了，多少人多少个问号你们一个标点符号也不直面回应官服更新的任何话题。我就不明白，就更个新，好像要了你们的猴命一样？这句话我在群里说话很多次了，呵呵。哦我想起来了，你们的睿智策划可是宁愿花钱请专职测试人员也不愿意用免费的经验丰富老玩家另开个测试服无偿测，这个做法很符合你们的睿智头脑呢，对吗buke？官服不行了，你们可以关了，补偿，转渠道服的转，该怎样怎样，不补偿直接关服我也认了，给个说法给个官方公告就好让我死心，拖着大半年不更新不修bug算什么态度？讲真的，从未见过这样的游戏，只发展渠道服。自己官服都自生自灭哈哈哈哈笑死了，哦，我觉得我上面的一句话很可能给他们借口，说我们玩的官服其实是测试服呢，不算正式的，哈哈哈哈哈哈。每次问都无视我们，白眼狼的你们竟敢无视我们到这种地步！当初没我们的支持你能撑到现在怕是也是更艰难许多吧，我知道你们当初很可能是游戏收入是入不敷出自己贴钱维持运营的，我们支持的这点钱只是杯水车薪？呵，也许确实是这样，但，这不可以也不可能否定我们曾经也有出力出钱支持过你们发展这个游戏的事实。虽然不是每个人都上万上万的氪进去，但是我知道“树上的朋友”这位大佬就氪了将近一万，我个人虽然能力有限只支持大概两百，很多游戏朋友多少也有支持，一个好友冥月大佬也是在我的劝说下支持了一个永久月卡98R。难道这些不是我们对你们的辛苦努力给予了肯定和支持吗？那时，除了我们还有谁给你们这些支持给你们动力？都忘了吗？可真能忘本啊，大拇指！你们现在做出这一点小成绩就敢这么对我们？哈哈哈哈可笑可笑，游戏现在有几个渠道服也不见得多火？就你们这品行这么没品的想做大做强？难哦~~~码这些字不是想黑游戏，游戏是好游戏，是我的热爱，奈何落入贼手，游戏前身是猴子也疯狂，韩国出的停服了，后来这个团队接手了，这个复刻版不知有没有版权呢？咱不懂也不敢问。说这么多只是想告诉大家，这游戏开发团队真的很没品，忘本，无义！游戏是好游戏，请大家多多支持！来这里只是想大家评评理，并没有任何其它意思，不喜勿喷。评论来自:唯一的官服100区——愤怒玩家,1
"过于氪金，冲了一百块（月卡，首充礼包）撑了两小时没了，每次扩充超市都要钻石，仅仅是前期升级一次就要40个（经回复检查此处有误，达到条件不需要钻石），三十块钱的首充礼包也才给50钻石，升级两三级给5个钻石，真的无语，雇佣快递员也全是要钻石的，同样40个，高级角色装扮也要钻石，同样两位数，抽奖也要钻石，怕是把钻石当成能轻易获得的硬通货，每日任务全做完也才奖励10个钻石好吧，还是说现在所谓的活动，登录送10个钻石奖励太丰厚了，官方在回收钻石？创意挺好，我也只能耗时间慢慢玩了，啧。——————这个是真的耗时间啊卧槽，本以为是天天签到打一会那样的，结果我一天玩好几个小时，好累，不行了，头皮发麻脚发软，两眼发黑双手无力——————哇，你们要不要这样啊，其实我姑且还算喜欢这个游戏的——————仔细检查了一下我说的，并不是不充钱就不能玩了，这个游戏更偏向于玩家间互帮互助，如路边摊，挽救商品，竞争成分并不大，游戏氛围较和谐。总的来说，氪金不是必须的，因为有每日任务的存在，每天必得钻石，相对的，是需要耗时间，普通点一天总共耗去一小时，肝帝几个小时。其实这个游戏最吸引我的还是萌萌的画风，真的可爱——————不要因为看到我的评论就不玩了，这个游戏还是不错的啊，不要听风就是雨，too young, too simple",1
两只蜗牛的对话 还以为是bug重复了😂又看到一次之后却感觉其中是有意义的 直到最后一次重复的时候多说那句:好像曾经听过 才明白前面重复多次的用意，感觉的到是个很用心的作品，目前测试版本简单到甚至不像游戏，但是音乐和场景都让人很舒服，五星，期待多一点玩法,1
对我来说，这种游戏让我感觉很好。刚开始是因为同学推荐我玩，我玩了一下，哇，真的很好，然后，最近没怎么登录游戏，怎么关服了？这就很难受。希望反斗联盟快速上架，我想玩。等待这种事。对我来说度日如年。我就是觉得那个空投好像有点问题。每次那个空投差不多都在对面基地附近。对面英雄又有点难对付。抢又抢不着。这就特别难受了。,1
首先从游戏难度:由于斜线也可连接，这个游戏的难度非常低，第一次玩直接一万七千分……现在想想只觉得自己当时太无聊了接着说说游戏趣味性:这个游戏的快感完全来自于合成更大的数字和突破自己上一次合成的分数，但一旦玩到某个数字之后就会发现突破花费的时间远远大于带来的快感。由于上文说到的游戏难度过低的问题，是很容易玩到很大的数的。所以它在我的手机里留了这么久并不是因为它有多有趣或者我有多无聊，只是我手机恰好内存够，我又懒到还没给它写评论……,0
好可爱的游戏哇⊙∀⊙！真的是不一样的跑酷游戏捏！不过提个小小的建议就是死亡后的那十秒其实可以缩短一点点的哇⊙∀⊙(迫不及待地想进行下一轮的我)，或者加个可以跳过的键(还是说其实是我没发现)房间希望可以多出一些(因为真的很好玩呀)，如果每个房间的样子能有多种多样的就好了。加油＾０＾~打call！,1
花了68元，还行吧，本人主要玩竞技游戏。比较不好的是操作，相比我以前玩过的网球类这个游戏显得操作十分不灵敏，不知道是不是属性的问题，还有就是网络环境极差，动不动就卡住，优化差劲，页面大部分提示都是英文的，我的天，你的主要用户基本都是国内玩家，连翻译一下都舍不得？？玩的人也不多，大概就200不到人,0
诶，这是脏话，不可以说哦。理应四星，但是是两个高中生做出来的，多鼓励一星。游戏玩法就是经典的一笔画，加入了象棋中马的走位规则。emmm反而感觉把一笔画的玩法限制住了，好在有后续重复踩点规则的补充，也算挽救了回来。整体来看，提升的空间还有很大。①选点的音效，既然选用了马，就可以尝试用马蹄声，而不是呲呲呲的声音，连点还可以用奔跑的音效等等。②有几个按钮的图标还可以再优化，比如开始，跳关，以及查看完成记录没有回退按钮，都是些小细节。③难度上升太慢，前面几十关都没有啥挑战性。后面的关卡还是很值得琢磨的。可以让用户尽快体验到这部分。④更多加难度的形式，比如用网格纸，抠掉一部分，留一部分多余的踩点，加上撇脚的规则。⑤商业化内容，增加后退一步，获得提示，接个广告等等，这些基本内容，都是可以有选择性做的。年轻真好，继续加油~,1
「不定期更新」很棒的一款中国水墨风游戏自从玩了睡神飞的游戏后，各种觉得自己智商掉线所以我觉得是时候展现我真正的技巧了hh，于是乎找到了《Evlover》（墨盘）这款游戏在世面上，水墨风游戏并不算少:《影之刃》、《墨鬼》、《暗影格斗2》都是一些不错的作品但是相对于用水墨风来展现格斗来说我觉得水墨风作为“国画”的代表更应该展现出一种内涵吧--------------------------------------------------------不出意料的游戏整体画风就是水墨风游戏整个操作简单，要求清晰明了通过顺/逆时针旋转和镜面翻转达到游戏要求的图形BGM挺不错，符合游戏风格让整个游戏的确营造出了一种恬静淡雅的感觉不急不糙，细细评味希望后期能够增加明确的步数限制比如Perfect只能有多少步，Great可以有多少步甚至，是否能用一些字来代替这个英文呢？就个人意见而言，古代字或者是繁体字的出现可能会让游戏又另有一番韵味游戏还在测试阶段希望正式版能有更大的优化Endby、南小鸟,1
光说这游戏的话乍一看就是页游，但我进去过后发现这个跟火炬之光很像，但是又没有人家特效做的好，点开交易把我吓傻了，各种腊鸡装备死贵。卡是不卡，但是我感觉光是摄像头那一块有点烫，这优化真的不咋地，TX氪金是挺重，但是就地图怪物而言，对应奖励的装备基本是够了，你非要打竞技场和别人比战力那也没法，有钱就去吧，勉强给个3星。最后说一句，特效特么渣，一点也不黑暗。勉强当个地牢游戏玩。,0
